"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"X53_CinguloOpercular_var",7.82607373709546,8.02297137095745,0.014180968145366,10.3974772333921,0.969939879759519,"Confirmed"
"X226_DorsalAttention_mean",6.67744332309522,6.85825649764438,-0.446990376053087,9.45238925022402,0.961923847695391,"Confirmed"
"X153_Visual_CV",6.16772541983686,6.31686214033416,-1.55264431884802,9.24102796744941,0.937875751503006,"Confirmed"
"X244_Reward_mean",5.18761909930349,5.2869170655922,-0.513273476660203,7.52988009784719,0.909819639278557,"Confirmed"
"X244_Reward_CV",4.73150647322435,4.82060089072155,-1.15262472695577,7.71720253578646,0.869739478957916,"Confirmed"
"X53_CinguloOpercular_mean",4.37767144475936,4.47363216245648,-1.36124339009263,7.03218883798618,0.845691382765531,"Confirmed"
"X86_DefaultMode_mean",4.18233639519881,4.24434359765601,-0.541551326823727,7.57180477023122,0.823647294589178,"Confirmed"
"X236_MedialTemporalLobe_var",3.58295580662072,3.66761594199397,-1.00652617481233,7.25175679885706,0.735470941883767,"Confirmed"
"X220_DorsalAttention_CV",3.47633602823039,3.51947430460895,-0.57748148565611,6.62171870100315,0.705410821643287,"Confirmed"
"X67_CinguloOpercular_CV",2.76092466111532,2.85472170284328,-1.17766230815786,5.63874909560387,0.56312625250501,"Tentative"
"X89_DefaultMode_CV",1.08153261958276,0.947735681396404,-1.67458916807418,3.503517459463,0.0240480961923848,"Rejected"
"X284_FrontoParietal_mean",1.04657844494075,1.14126126908735,-1.13415160408321,3.00166319768943,0.0120240480961924,"Rejected"
"X67_CinguloOpercular_mean",0.955419383194289,1.12068792581238,-1.40530075254512,4.04856279073615,0.00400801603206413,"Rejected"
"X177_FrontoParietal_var",-0.212776397257314,-0.490900901797869,-1.72511968075975,2.18862008038962,0.00200400801603206,"Rejected"
"X258_CinguloOpercular_CV",-0.0291436481510274,-0.352693082852053,-2.0961447939559,2.27940118433598,0.00200400801603206,"Rejected"
"X1_unassigned_mean",-0.31586497170332,-0.803304361028038,-1.70441836862356,1.12820279299306,0,"Rejected"
"X10_unassigned_mean",-0.231111292269073,-0.479784039559396,-1.56854014892347,1.21661790178775,0,"Rejected"
"X100_DefaultMode_mean",0.325508684469891,0.565803373987222,-1.3638713183326,1.50077069068887,0,"Rejected"
"X101_DefaultMode_mean",-0.150750966142831,-0.180155592475724,-1.65196984608644,1.95213210631902,0,"Rejected"
"X102_DefaultMode_mean",-0.0643297508076657,0,-1.69735251443125,1.48076964390461,0,"Rejected"
"X103_DefaultMode_mean",-0.0126661948153146,-0.096393589544464,-1.21389109536885,1.38512020881794,0,"Rejected"
"X104_DefaultMode_mean",-0.670918295368405,-0.958127396823946,-1.68712339376952,1.35866906977783,0,"Rejected"
"X105_DefaultMode_mean",0.338939795961399,0.535821839350399,-1.59138736128768,1.70529208900444,0,"Rejected"
"X106_DefaultMode_mean",0.142658960814382,0.368190340732903,-1.47729399987568,1.40609716791666,0,"Rejected"
"X107_DefaultMode_mean",-0.38760145610616,-0.424787720340125,-1.68435939938551,1.17439237078868,0,"Rejected"
"X108_DefaultMode_mean",-0.0908647556485141,-0.0179000092258432,-1.27537814461825,1.41631084259087,0,"Rejected"
"X109_DefaultMode_mean",-0.0462356691055181,-0.375557630901559,-1.37115185908372,1.66510125462443,0,"Rejected"
"X11_unassigned_mean",-0.317427117946694,-0.809432707954294,-1.47242864020739,1.36236197043961,0,"Rejected"
"X110_DefaultMode_mean",-0.334095029907558,-0.676844510285983,-1.65493432800282,1.50503177221059,0,"Rejected"
"X111_DefaultMode_mean",0.314175804463642,0.537757686831533,-1.39494816143067,1.98884081539859,0,"Rejected"
"X112_DefaultMode_mean",-0.497213897452675,-1.00100150250438,-1.91380879937094,1.57320468303712,0,"Rejected"
"X113_DefaultMode_mean",0.0415884992460597,-0.00790939612869086,-1.69098427118328,1.81080262649412,0,"Rejected"
"X114_DefaultMode_mean",-0.112932861044694,-0.207394116356279,-1.71747184740612,1.41385134761799,0,"Rejected"
"X115_DefaultMode_mean",0.176303092438045,0.80491328701038,-1.22918767846588,1.28820861520134,0,"Rejected"
"X116_DefaultMode_mean",-0.265670389632949,-0.512483403781923,-1.41694705606083,1.32256553769039,0,"Rejected"
"X117_DefaultMode_mean",-0.0677466149186885,0.214295288789581,-1.49983735083673,1.74783358288056,0,"Rejected"
"X118_DefaultMode_mean",-0.149855187264153,-0.169010201126041,-1.16241045876223,1.40649797928976,0,"Rejected"
"X119_DefaultMode_mean",-0.303334463241651,-0.559994989880487,-1.48933108376813,1.51479567884935,0,"Rejected"
"X12_unassigned_mean",-0.224248682962074,-0.43724283507754,-1.45517810273543,1.2679694138351,0,"Rejected"
"X120_DefaultMode_mean",-0.160149631364981,-0.246885176883887,-1.82599856171586,1.422556308795,0,"Rejected"
"X121_DefaultMode_mean",0.36053931393225,0.618085262426628,-1.60624012637266,1.93968638196359,0,"Rejected"
"X122_DefaultMode_mean",0.155012215277913,0,-1.00100150250438,1.60966263759749,0,"Rejected"
"X123_DefaultMode_mean",-0.26713604122328,-0.348516258132462,-1.78178337309721,1.3927771140837,0,"Rejected"
"X124_DefaultMode_mean",-0.185499985676166,-0.519176869459961,-1.39882043701969,1.7806263898153,0,"Rejected"
"X125_DefaultMode_mean",-0.322000800659704,-0.79412051196308,-1.63442752685622,1.24993543739161,0,"Rejected"
"X126_DefaultMode_mean",0.205073819474041,0.310529365652826,-1.39411335775248,1.37761219815425,0,"Rejected"
"X127_DefaultMode_mean",-0.0640406653480572,0.149160316087373,-1.51163480074323,1.26480702377723,0,"Rejected"
"X128_DefaultMode_mean",0.08674286570893,0.174383220169213,-1.35316680737375,1.1587259834627,0,"Rejected"
"X129_DefaultMode_mean",0.112734234426325,-0.180810354320218,-1.03986139808046,1.67538069093815,0,"Rejected"
"X13_SomatomotorDorsal_mean",0.356257594776448,0.38456691581987,-1.48886434043405,1.80842379136713,0,"Rejected"
"X130_DefaultMode_mean",0.651116262582878,0.980714997112079,-1.13230752544249,1.78960748162046,0,"Rejected"
"X131_DefaultMode_mean",0.124452558973002,0.605077991373426,-1.72681968437094,1.90255592561987,0,"Rejected"
"X132_DefaultMode_mean",0.262574213953147,0.425760237261402,-1.3574368196868,1.04319289316494,0,"Rejected"
"X133_DefaultMode_mean",0.366237866242897,0.866790859823929,-1.68179002311524,1.64998863883992,0,"Rejected"
"X134_DefaultMode_mean",-0.321653152556454,-0.785517965747584,-1.64876372426729,1.52603498659751,0,"Rejected"
"X135_DefaultMode_mean",-0.419788123396962,-0.49829813435188,-1.63053082893167,1.09430587137608,0,"Rejected"
"X136_ParietoMedial_mean",0.149134558708825,0.367286866280955,-1.72439128905026,1.47057080600395,0,"Rejected"
"X137_ParietoMedial_mean",-0.199215003358605,-0.722693450832766,-1.37049923805735,1.41468869294954,0,"Rejected"
"X138_ParietoMedial_mean",0.31811777519532,0.465682180270839,-1.17688384441547,1.44758699642526,0,"Rejected"
"X139_ParietoMedial_mean",0.324115944644026,0.50111362931965,-1.00100150250438,1.1918010019948,0,"Rejected"
"X14_SomatomotorDorsal_mean",-0.256371223924771,-0.731442473108507,-1.57494880454756,1.36276320516217,0,"Rejected"
"X140_ParietoMedial_mean",0.0189696999162496,-0.0189415530448663,-1.42903772845282,1.75628402612695,0,"Rejected"
"X141_Visual_mean",-0.344365187495834,-0.92910425567414,-1.93579545465563,1.36464898277411,0,"Rejected"
"X142_Visual_mean",0.0690394957698079,-0.0621420853979144,-1.44011229686399,1.64837659254571,0,"Rejected"
"X143_Visual_mean",0.448488483189942,0.81072722338517,-1.42330616846091,2.23759329158964,0,"Rejected"
"X144_Visual_mean",-0.203707758088761,-0.256574140618981,-1.8121849220389,1.55796458648893,0,"Rejected"
"X145_Visual_mean",0.0867602388215199,0.0926954047946732,-1.67773553613027,1.50604471412506,0,"Rejected"
"X146_Visual_mean",0.0371253566178215,0.00977338779148337,-1.19016017119869,1.69189594379928,0,"Rejected"
"X147_Visual_mean",0.0204992757799074,0,-1.57859098542771,1.5210687452139,0,"Rejected"
"X148_Visual_mean",-0.287431624940384,-0.137229184366084,-1.69919812835841,1.47214305621869,0,"Rejected"
"X149_Visual_mean",-0.166912797797972,-0.00275843681885466,-1.50082710196263,1.26085837778475,0,"Rejected"
"X15_SomatomotorDorsal_mean",-0.100858597315871,0.0637114766229555,-1.55426983501854,1.11071471777043,0,"Rejected"
"X150_Visual_mean",0.00951180686601113,0.115434869941408,-1.84475479841172,1.68502812943021,0,"Rejected"
