,164_Visual_var,211_VentralAttention_var,288_FrontoParietal_mean,65_CinguloOpercular_mean,211_VentralAttention_mean,75_Auditory_var,159_Visual_mean,20_SomatomotorDorsal_var,279_DefaultMode_mean,268_CinguloOpercular_var
0,-0.20630205,-0.8818607,-0.25005215,-0.01696936,-0.22266251,0.110644944,-0.080067515,-0.15341905,-0.26714835,0.027542131
1,-0.11556505,-0.88228995,0.13381255,0.15505232,-0.19886914,0.06617675,0.12915914,-0.09700195,-0.10955549,-0.022662686
2,-0.8199094,-0.5526894,0.15909892,-0.07606645,-0.11523561,0.45471147,0.21342781,1.5549442,-0.08630113,0.32771438
3,-0.082181826,-0.51275826,0.14568305,-0.086513124,-0.1853101,0.3549793,0.06479831,-0.08281274,0.1312767,0.3124611
4,-0.41926858,0.91973925,-0.33949518,0.02102552,-0.076884314,-1.4226338,0.02870049,-0.30086458,-0.2650927,-0.085819565
5,-0.13174401,-1.0010594,0.04440547,-0.08273206,-0.22090635,0.038855087,-0.26753604,-0.17503193,-0.081498735,-0.0625732
6,-0.14945073,-0.6764059,-0.21653414,0.03624139,-0.15045992,-0.35976586,-0.20979162,-0.09040594,-0.09864725,-0.02491748
7,-0.27512574,1.919749,-0.07196747,0.0124138,-0.0839443,0.6440477,0.10333737,-0.029213568,-0.3305485,0.17087021
8,-0.19898193,-0.5850502,0.15490988,-0.0016067553,-0.20366375,0.33396164,0.18756975,0.028642032,0.1873177,0.15671578
9,0.1842827,2.751184,0.64443916,0.049180806,-0.079767026,0.7250043,0.41443032,0.08741226,0.18132938,0.10159005
10,-0.046523727,2.0242105,0.708024,-0.03675339,-0.09213865,0.15297821,-0.555648,-0.13301173,-0.13866428,0.17647372
11,1.568449,-0.3336246,0.20864391,0.61788785,-0.11208678,0.08929698,0.17805843,-0.10015397,-0.032601308,-0.024420757
12,-0.08894064,-0.48385394,-0.011052333,-0.050099794,1.4398384,0.42747143,-0.13147081,-0.01883465,-0.18740061,0.1641826
13,-0.032004673,-0.6456024,-0.030927693,-0.027989926,-0.15519048,0.4809632,0.3839155,0.15834974,-0.05680028,-0.015012826
14,1.251327,-0.23957776,-0.6628163,0.48635307,-0.10310962,-0.34917092,-0.13041495,-0.07885853,-0.032011304,-0.08216842
15,-0.08990766,2.278194,-0.038386267,0.0020970453,-0.028653614,0.55294085,0.050559778,0.11794683,0.9721571,0.24243475
16,-0.024985418,-0.6463086,0.11884243,-0.062442794,0.8864983,0.3640015,0.0913162,-0.06855959,1.2354012,0.16535069
17,-0.016288256,-0.503751,0.043739058,0.07331191,0.31983775,0.4300622,-0.39804396,-0.20465061,0.07581872,0.23997857
18,-0.21642649,-0.7153237,-0.024224956,-0.06196334,-0.23826571,0.0900331,-0.3198714,-0.23034151,-0.15711114,-0.066442385
19,-0.116901524,-0.5270905,0.116973974,-0.022808801,0.5311012,0.16674916,-0.088658325,-0.09442907,0.008325819,0.08646427
20,-0.16384877,-0.56876814,-0.1578799,-0.1878918,-0.23874475,0.09196206,-0.1947328,-0.22852562,-0.22148304,-0.070359886
21,0.10298282,0.027218184,-0.1721182,0.53459007,-0.124350324,-0.26899937,0.007005164,-0.08476004,-0.01563933,0.05234074
22,-0.22208823,-0.656279,-0.011454237,-0.16878483,-0.23944664,0.08593254,-0.20085394,-0.19678101,-0.21622178,-0.11538033
23,1.5253036,-0.50012594,0.47952697,0.46017215,-0.049972873,0.44650984,0.2837144,0.025141153,0.21380197,0.175275
24,-0.0786614,-0.5263119,-0.32544315,-0.053210326,-0.23616175,0.032607175,-0.26269874,-0.21074398,-0.16856241,-0.110634804
25,0.84942484,1.7307687,0.8424117,0.18867281,-0.04825529,0.31689367,0.06459798,-0.10897025,0.19691238,0.026828913
26,1.0098879,-0.5534925,0.3069772,0.273851,0.6908167,0.47790095,-0.0038666134,-0.11776321,-0.008159877,-0.016676154
27,1.6250087,-0.42089784,0.03719968,-0.014341408,0.7504725,-0.19624585,0.13516785,1.4629067,0.6869831,-0.006715567
28,-0.08471402,-0.49973416,0.16861317,-0.043425225,-0.06024789,0.29185623,-0.0623978,1.7412275,1.2515268,0.3564155
29,-0.053596888,-0.5392796,-0.0019887814,0.12156038,1.5752783,0.5719076,0.27484244,-0.025020758,-0.04336256,0.17897192
30,-0.19226427,-0.6078204,-0.02953752,-0.06793817,-0.5449359,-0.49161187,-0.24040818,-0.1972284,0.49133247,-0.0597903
31,-0.08059463,0.6848469,-1.3554233,-0.081845656,-0.06783218,-0.1337582,-0.069746554,-0.09351271,-0.41773996,-0.3252219
32,-0.2127656,-0.6367283,-0.01196938,-0.16014017,-0.15761735,-0.26040247,-0.2161181,-0.06770028,-0.13858947,-0.07884491
33,-0.20934962,-0.4076535,-0.18178695,-0.14654002,-0.16638167,-0.47497275,0.0071926992,-0.10845385,-0.19144376,-0.06137565
34,0.40010515,1.0721986,-0.5797934,0.043792218,-0.056438446,-0.72134703,0.07399466,-0.15331751,-0.14453499,0.124821246
35,-0.068852164,1.8299204,0.59469175,-0.040781956,0.33155113,0.5212087,0.1226899,0.015331804,0.6772662,0.076892234
36,-0.10638238,-0.4287372,0.53386813,0.6808001,-0.09846312,0.25601798,0.14897901,0.2010811,-0.0727226,-0.05502044
37,-0.08678681,-0.274449,-0.3130084,-0.12660876,-0.20128754,0.29450458,-0.0026268873,-0.15248114,0.07067681,-0.14851214
