,FC_mean_32788,FC_mean_11387,FC_var_38134,FC_mean_34420,FC_var_42403,FC_var_13935,FC_var_28464,FC_var_9542,FC_var_5661,FC_mean_10410
0,-1.4826422,-0.097841375,0.036549613,-0.89356166,-1.90155,0.06673592,-0.009949427,0.3390441,-0.16400449,-0.04670135
1,1.1482798,-0.17866594,-0.053445667,0.22947566,-0.40175295,-0.3688471,-0.30302534,0.5808713,-0.05871598,0.2504493
2,-0.50853306,0.029222427,0.21761146,0.23001136,0.42543268,0.32019383,0.37414703,0.4351427,-0.018333718,0.34155408
3,0.9283776,0.19619563,0.4122911,-0.3364156,0.4100375,0.367496,0.12910564,0.8378398,0.15550628,0.74182004
4,0.5393563,0.30939546,0.18317144,0.5923374,0.32161093,0.24271335,0.18504521,0.46454042,-0.13051838,0.13793372
5,-0.73955315,0.16967389,1.2916203,0.19368346,0.34181014,0.7418033,0.12808052,0.5404733,0.55243915,0.62476313
6,1.2837893,0.53305525,-0.1502801,0.7251959,0.4848578,0.54748297,-0.07981589,0.8735526,0.15589568,0.4711265
7,-0.4134481,0.4627687,0.12808533,0.8470612,-0.0017843184,0.9122621,1.2888082,0.13949062,-0.28540027,0.76717263
8,-1.72178,-0.2822445,0.059254352,-0.4350413,-0.63191557,-1.2310834,-1.5280021,-1.5864663,0.05451604,0.14895526
9,-0.26578623,0.21666487,-0.83735484,-0.2153826,-0.39968804,-0.38392788,-0.04240771,-3.3139434,0.117980324,-0.030992735
10,1.0730573,0.109083444,-0.11768217,1.2894115,-0.93191046,-0.14074972,0.13497989,0.468545,-0.12808935,0.08881233
11,0.8749898,-0.38023728,0.003513002,0.70706004,0.7709651,-0.50178224,-0.34706366,0.8243291,-0.04127655,-0.06565975
12,0.919183,0.42505985,0.37838128,1.3310869,0.36967158,-0.12815858,-0.028525244,0.35519972,0.09342864,-2.869865
13,-0.11623613,-0.045072623,0.3557879,-0.64637446,-0.63287485,-0.41159728,0.009688276,0.5253644,0.48765263,0.31861666
14,-2.2531233,0.15759338,-0.7556444,-0.3973119,0.35521877,-0.08153904,-0.3824591,0.25546506,0.06657737,-0.11928968
15,1.0358568,0.2146893,-1.0105891,0.16670662,-0.13931887,0.3039955,-0.6179975,0.119683184,-0.2047397,-0.022150226
16,0.17195255,-3.276764,0.061768435,-0.44846842,0.108277336,0.13803892,0.15447089,0.21057321,-0.15446827,-0.119595736
17,-0.4769521,-0.16020422,0.07860089,0.08291722,-0.18927598,0.06705582,0.672768,0.43433052,0.34082785,-0.0049818237
18,0.56711614,0.20278515,1.1235399,0.52660906,1.0760779,0.50957066,-0.29596528,0.73745894,-0.038471077,0.4358589
19,-0.41212213,-0.2927541,-0.3017551,-0.5619098,0.0681455,-0.82775736,-0.14368765,-1.2982892,-0.52901226,0.1443424
20,0.33604985,0.6244524,0.32233047,-0.37528405,-0.0009101291,2.2143283,1.0000163,0.1276646,0.17323229,0.42268142
21,-1.1761217,-0.018031107,-0.2710618,-0.78979665,0.06261507,-0.18580131,-0.42627916,-0.3156274,-0.81162196,-3.2225153
22,1.24271,0.4407277,0.48195106,0.3303817,0.40834847,0.7596193,0.013938674,0.5675476,0.18248212,0.41750726
23,-2.4675,-0.31871557,-0.092076436,-0.2802195,-0.06348814,-1.2467326,-1.3948486,-0.0780721,-0.4102627,0.19701299
24,0.021868262,0.45439854,0.37260535,0.70469946,0.8210727,0.37584832,-0.11482856,0.70411754,0.3220416,0.18376945
25,-1.5210472,0.032597777,0.11540742,-0.63307947,-0.18913077,-0.36579913,-0.40623075,-0.42712507,-0.97097206,0.21073021
26,-1.746409,0.19249623,-0.54623234,0.48582733,0.2714632,0.41906744,0.47172016,0.22496627,-0.0055440133,0.07815026
