"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"288_FrontoParietal_mean",7.94184831045975,8.09550235903332,1.57475404971658,10.8783779000234,0.969939879759519,"Confirmed"
"164_Visual_var",7.61299658364988,7.79949791760677,0.837548876501229,10.5261861196546,0.963927855711423,"Confirmed"
"211_VentralAttention_mean",7.39138349309605,7.55090375401602,0.991788192766352,10.0264329486297,0.949899799599198,"Confirmed"
"279_DefaultMode_mean",5.1424334427324,5.20142741347011,-0.032832652632956,7.89362083803206,0.869739478957916,"Confirmed"
"65_CinguloOpercular_mean",4.73861397114777,4.78253667900852,-0.184859926552347,7.98350924828863,0.859719438877755,"Confirmed"
"211_VentralAttention_var",4.60342497979578,4.75032965462837,-0.987966879187516,6.98725297931052,0.829659318637275,"Confirmed"
"20_SomatomotorDorsal_var",3.48531886791461,3.55819078882685,-1.24745624248816,5.98860912829839,0.67935871743487,"Confirmed"
"159_Visual_mean",3.45084792490501,3.51293196107709,-0.54587669817866,6.33196016567858,0.673346693386774,"Confirmed"
"75_Auditory_var",2.98154562116639,3.02793617240337,-0.720249705713574,5.67017337931127,0.565130260521042,"Tentative"
"268_CinguloOpercular_var",2.19925557789499,2.24316713526546,-1.3611900381226,4.95514966743183,0.416833667334669,"Tentative"
"267_CinguloOpercular_var",0.893247782646563,0.926486092531219,-1.86836441671997,3.64965544157442,0.00400801603206413,"Rejected"
"187_FrontoParietal_mean",0.0591194586815093,0.483779876804415,-1.60953855338606,2.61087069306158,0.00200400801603206,"Rejected"
"55_CinguloOpercular_var",0.0535446770689311,0.225545954847881,-1.54918499818198,2.19683222348258,0.00200400801603206,"Rejected"
"1_unassigned_mean",-0.209443048761713,-0.150499766635901,-1.67821063059513,1.41272385491968,0,"Rejected"
"10_unassigned_mean",0.0205205869956121,0.192994215310865,-1.14654530127808,1.00100150250438,0,"Rejected"
"100_DefaultMode_mean",0.10263419630186,0.257697241099803,-1.19016154724954,1.23312235554929,0,"Rejected"
"101_DefaultMode_mean",0.0202993278960168,0,-1.37025314480954,1.37113879943153,0,"Rejected"
"102_DefaultMode_mean",-0.35542986601855,-0.712454035592232,-1.0570636815118,1.00509636192849,0,"Rejected"
"103_DefaultMode_mean",0.134047944165806,0.0734599715116799,-1.47726538383156,1.95037786267006,0,"Rejected"
"104_DefaultMode_mean",-0.393529719996706,-0.444328226126478,-1.7433649559598,0.89914315206915,0,"Rejected"
"105_DefaultMode_mean",-0.122492449932833,-0.560774086550751,-1.62391537604074,2.10202977806229,0,"Rejected"
"106_DefaultMode_mean",-0.322415749279236,0,-2.61932187782154,1.41662750956909,0,"Rejected"
"107_DefaultMode_mean",-0.522357115579516,-0.842328976666188,-2.16064128829998,0.890054931454467,0,"Rejected"
"108_DefaultMode_mean",0.00990607683760421,0,-1.72793513686538,1.30177138799148,0,"Rejected"
"109_DefaultMode_mean",-0.04855717908448,-0.277681172476376,-1.46198593689492,1.73949388677659,0,"Rejected"
"11_unassigned_mean",-0.293678139851266,-0.483188825562362,-1.71646661850453,1.14969964248849,0,"Rejected"
"110_DefaultMode_mean",-0.29940007808563,-0.49180751435206,-1.33709770385173,1.13016511326669,0,"Rejected"
"111_DefaultMode_mean",-0.152320033867201,-0.0295131678216637,-1.40207194988066,1.384555345865,0,"Rejected"
"112_DefaultMode_mean",0.119314413089762,0.0250014034320935,-1.20751709061074,1.66896323564937,0,"Rejected"
"113_DefaultMode_mean",-0.239627120629998,-0.459364603235339,-1.54711855369367,1.26076349417728,0,"Rejected"
"114_DefaultMode_mean",0.0787137599926071,0,-1.34671602268548,1.49770300918172,0,"Rejected"
"115_DefaultMode_mean",-0.330464144106512,-0.510367944629952,-1.60607593650962,1.19226394876688,0,"Rejected"
"116_DefaultMode_mean",0.157592151893872,0.317348619953118,-2.03825829158444,1.9277850293033,0,"Rejected"
"117_DefaultMode_mean",-0.515170293989481,-0.930555989960472,-1.29916144395829,1.25220575861259,0,"Rejected"
"118_DefaultMode_mean",0.172180348487484,0.313067266160917,-1.05288782214631,1.62043467452569,0,"Rejected"
"119_DefaultMode_mean",0.229749070160023,0.254621483589057,-1.32409850312913,1.49388075829413,0,"Rejected"
"12_unassigned_mean",-0.255931375180447,-0.0990068005419547,-1.40686805865992,1.27248348045258,0,"Rejected"
"120_DefaultMode_mean",-0.438916856063071,-0.901319905382257,-1.15464173417095,1.00100150250438,0,"Rejected"
"121_DefaultMode_mean",-0.0513698109740639,-0.161412426500018,-1.66885613815451,1.41632725786679,0,"Rejected"
"122_DefaultMode_mean",0.096741248520886,-0.0568177260226868,-1.35542448786228,1.73341737938528,0,"Rejected"
"123_DefaultMode_mean",-0.0187905780036393,0,-1.62955286889407,1.31722116651677,0,"Rejected"
"124_DefaultMode_mean",-0.121562361397698,0,-1.09711351255222,1.00100150250438,0,"Rejected"
"125_DefaultMode_mean",0.252927873656145,0.410038714185677,-1.4161087719202,1.27032002828118,0,"Rejected"
"126_DefaultMode_mean",0.063485134195934,0,-1.41344113657265,1.00100150250438,0,"Rejected"
"127_DefaultMode_mean",0.0768284027339269,0.143705245824931,-1.41214916108355,1.34131081235094,0,"Rejected"
"128_DefaultMode_mean",-0.0652456499513374,0,-1.17291788643027,1.29345382663726,0,"Rejected"
"129_DefaultMode_mean",-0.258654990131258,-0.826739285308556,-1.38423287441878,1.55302912838601,0,"Rejected"
"13_SomatomotorDorsal_mean",0.652651677181382,0.631749123394448,-1.99297786922612,1.9512930707583,0,"Rejected"
"130_DefaultMode_mean",-0.235976759481883,-0.206250056559999,-1.32264841957813,1.00100150250438,0,"Rejected"
"131_DefaultMode_mean",-0.138402606743293,-0.345695766457751,-1.72215719807997,1.64332091126944,0,"Rejected"
