"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"187_FrontoParietal_var",10.1211058129481,10.3866170502634,0.761742911220483,13.7527526870908,0.963927855711423,"Confirmed"
"255_SomatomotorLateral_mean",10.5292783228759,10.776903679119,1.54191997790375,14.104033425277,0.961923847695391,"Confirmed"
"239_DefaultMode_var",6.3027404371495,6.42861481696271,-0.828497797024899,9.41946444682069,0.895791583166333,"Confirmed"
"161_Visual_var",5.18779005615729,5.2376331910598,-0.326395092221898,10.401590571272,0.82565130260521,"Confirmed"
"56_CinguloOpercular_var",2.66038308963679,2.66193235824436,-1.82142113493023,6.71955769538495,0.537074148296593,"Tentative"
"1_unassigned_mean",0.916680631686626,1.01436037071482,-1.03033651677306,2.12386710252877,0,"Rejected"
"10_unassigned_mean",-0.287587502996251,-0.514656838376609,-1.73167650269967,1.41270013408681,0,"Rejected"
"100_DefaultMode_mean",-0.00885741192968502,0.00642306014691759,-1.26110364594931,1.60198521296849,0,"Rejected"
"101_DefaultMode_mean",0.289246877583254,0.28957301945269,-1.26352087485659,1.73275894662635,0,"Rejected"
"102_DefaultMode_mean",0.19264382741056,0.690302917454592,-1.00100150250438,1.24240159936159,0,"Rejected"
"103_DefaultMode_mean",-0.498792234880715,-1.00930039630426,-1.56351611420079,1.20339033778365,0,"Rejected"
"104_DefaultMode_mean",-0.114650694843225,-0.146450280018209,-2.19485283391491,1.76055829322769,0,"Rejected"
"105_DefaultMode_mean",-0.0364477490174642,0.00751623187236735,-1.4797308379851,1.40824619405963,0,"Rejected"
"106_DefaultMode_mean",-0.464889682929383,-1.11233515189553,-1.61338931578053,1.25728468708747,0,"Rejected"
"107_DefaultMode_mean",0.155596418902292,0.343426750853384,-1.52545111882355,1.49242447227279,0,"Rejected"
"108_DefaultMode_mean",-0.33818705432284,-0.448639978219964,-1.72591037253254,1.4956280931925,0,"Rejected"
"109_DefaultMode_mean",-0.349773345245479,-0.349131169346738,-1.44039223952901,1.53079127008148,0,"Rejected"
"11_unassigned_mean",-0.227144321776636,-0.633679742657833,-1.72912656543752,1.92845413604582,0,"Rejected"
"110_DefaultMode_mean",-0.057001320255292,-0.287475944070849,-1.34551114120219,1.33056939170845,0,"Rejected"
"111_DefaultMode_mean",-0.139441452162825,-0.567628535148344,-1.59122931646647,1.94114447740306,0,"Rejected"
